S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
1.0,2025-02-20,384.50,384.50,373.60,374.50,-0.66,"42,089.00","1,58,47,811.60",2.04,183.578431372549
2.0,2025-02-18,389.00,389.60,375.00,377.00,-1.31,"74,518.00","2,83,74,584.90",2.04,184.803921568627
3.0,2025-02-17,371.00,386.90,370.70,382.00,3.05,"1,08,899.00","4,12,12,054.50",2.04,187.254901960784
4.0,2025-02-16,367.00,370.90,365.00,370.70,2.12,"70,533.00","2,60,14,490.40",2.04,181.71568627451
5.0,2025-02-13,360.00,366.00,360.00,363.00,-0.03,"47,627.00","1,73,18,839.00",2.04,177.941176470588
6.0,2025-02-12,365.00,370.00,360.00,363.10,-0.25,"47,038.00","1,71,47,454.50",2.04,177.990196078431
7.0,2025-02-11,367.00,370.00,361.00,364.00,-0.03,"48,342.00","1,76,10,510.40",2.04,178.43137254902
8.0,2025-02-10,369.90,369.90,363.20,364.10,-0.52,"28,859.00","1,05,33,106.80",2.04,178.480392156863
9.0,2025-02-09,358.60,370.00,358.60,366.00,0.03,"55,880.00","2,05,03,353.50",2.04,179.411764705882
10.0,2025-02-06,363.00,368.00,359.00,365.90,0.25,"73,453.00","2,68,81,083.30",2.04,179.362745098039
11.0,2025-02-05,366.00,370.10,363.00,365.00,-1.16,"50,984.00","1,86,97,457.00",2.04,178.921568627451
12.0,2025-02-04,379.00,379.00,367.00,369.30,-0.73,"54,568.00","2,02,61,319.40",2.04,181.029411764706
13.0,2025-02-03,369.20,385.50,369.00,372.00,1.36,"1,47,482.00","5,55,51,307.30",2.04,182.352941176471
14.0,2025-02-02,355.00,367.00,355.00,367.00,2.8,"81,796.00","2,96,83,622.20",2.04,179.901960784314
15.0,2025-01-28,353.00,362.00,350.00,357.00,1.13,"1,04,728.00","3,73,97,715.60",2.04,175.0
16.0,2025-01-27,362.80,362.80,351.00,353.00,-0.98,"95,052.00","3,35,67,863.70",2.04,173.039215686275
17.0,2025-01-26,362.10,364.90,356.00,356.50,-2.6,"87,702.00","3,15,24,673.60",2.04,174.754901960784
18.0,2025-01-23,369.00,371.80,364.30,366.00,-1.03,"59,766.00","2,18,96,885.10",2.04,179.411764705882
19.0,2025-01-22,359.00,370.00,355.00,369.80,3.01,"1,37,664.00","4,96,69,715.40",2.04,181.274509803922
20.0,2025-01-21,357.00,361.00,354.00,359.00,0.42,"85,995.00","3,07,32,031.10",2.04,175.980392156863
21.0,2025-01-20,362.00,363.60,351.60,357.50,-2.32,"1,87,054.00","6,67,67,422.90",2.04,175.245098039216
22.0,2025-01-19,365.10,370.00,361.60,366.00,-0.79,"83,984.00","3,06,79,994.80",2.04,179.411764705882
23.0,2025-01-16,375.20,377.80,368.00,368.90,-2.36,"67,591.00","2,51,10,905.70",2.04,180.833333333333
24.0,2025-01-15,370.10,384.00,370.10,377.80,0.05,"51,468.00","1,94,46,913.70",2.04,185.196078431373
25.0,2025-01-13,388.60,388.60,377.50,377.60,-0.89,"84,072.00","3,19,08,096.20",2.91,129.759450171821
26.0,2025-01-12,385.00,385.20,381.00,381.00,-0.63,"36,094.00","1,38,12,729.10",2.91,130.927835051546
27.0,2025-01-09,386.00,388.00,381.00,383.40,-0.93,"78,694.00","3,02,06,337.50",2.91,131.752577319588
28.0,2025-01-08,393.50,393.50,383.00,387.00,-0.21,"45,107.00","1,74,19,527.10",2.91,132.989690721649
29.0,2025-01-07,395.70,395.70,384.00,387.80,-0.05,"59,219.00","2,29,08,320.50",2.91,133.264604810997
30.0,2025-01-06,388.00,390.00,382.10,388.00,1.04,"78,034.00","3,01,21,853.60",2.91,133.333333333333
31.0,2025-01-05,385.00,389.70,382.70,384.00,-0.75,"88,991.00","3,41,66,948.70",2.91,131.958762886598
32.0,2025-01-02,390.00,390.00,377.40,386.90,0.86,"58,340.00","2,24,39,781.80",2.91,132.955326460481
33.0,2025-01-01,377.30,388.00,377.30,383.60,-0.36,"43,278.00","1,66,13,575.40",2.91,131.821305841924
34.0,2024-12-31,383.20,395.00,376.60,385.00,-1.53,"1,32,291.00","5,07,56,067.00",2.91,132.302405498282
35.0,2024-12-29,400.00,404.70,391.00,391.00,-2.98,"70,534.00","2,78,76,541.80",2.91,134.364261168385
36.0,2024-12-26,388.10,409.90,388.00,403.00,1.77,"92,340.00","3,69,62,239.40",2.91,138.487972508591
37.0,2024-12-24,395.00,398.00,390.00,396.00,1.85,"51,143.00","2,02,05,178.70",2.91,136.082474226804
38.0,2024-12-23,382.20,391.00,382.20,388.80,-0.31,"82,637.00","3,20,24,251.60",2.91,133.60824742268
39.0,2024-12-22,392.90,400.60,387.10,390.00,-0.74,"73,760.00","2,87,51,184.00",2.91,134.020618556701
40.0,2024-12-19,384.20,395.10,384.20,392.90,0.23,"73,620.00","2,89,01,909.40",2.91,135.017182130584
41.0,2024-12-18,389.10,412.00,389.10,392.00,-1.26,"83,131.00","3,27,75,891.20",2.91,134.707903780069
42.0,2024-12-17,396.00,399.90,395.50,397.00,-0.3,"80,508.00","3,20,15,293.70",2.91,136.426116838488
43.0,2024-12-16,403.00,403.00,395.00,398.20,-1.19,"1,13,101.00","4,50,28,844.10",2.91,136.838487972509
44.0,2024-12-12,423.30,423.30,402.80,403.00,-2.89,"84,801.00","3,46,42,192.00",2.91,138.487972508591
45.0,2024-12-11,404.00,415.00,397.00,415.00,2.47,"1,50,942.00","6,07,77,882.10",2.91,142.611683848797
46.0,2024-12-10,396.90,411.00,396.90,405.00,0.0,"58,539.00","2,36,94,809.20",2.91,139.175257731959
47.0,2024-12-09,396.90,411.40,396.90,405.00,0.0,"66,907.00","2,71,35,316.00",2.91,139.175257731959
48.0,2024-12-08,409.90,414.90,400.10,405.00,-1.2,"1,59,922.00","6,45,77,191.50",2.91,139.175257731959
49.0,2024-12-05,406.90,415.00,406.00,409.90,-1.28,"1,55,704.00","6,37,54,717.80",2.91,140.85910652921
50.0,2024-12-04,420.00,425.00,415.00,415.20,-1.1,"1,43,772.00","6,00,79,128.40",2.91,142.680412371134
51.0,2024-12-03,436.00,436.00,417.00,419.80,-1.89,"4,10,484.00","17,25,11,347.90",2.91,144.26116838488
52.0,2024-12-02,430.00,430.00,425.00,427.90,-0.21,"1,81,491.00","7,75,67,724.10",2.91,147.044673539519
53.0,2024-12-01,444.00,444.00,427.20,428.80,-1.49,"1,26,527.00","5,43,36,790.10",2.91,147.353951890034
54.0,2024-11-28,437.00,437.90,430.00,435.30,-0.37,"81,755.00","3,55,74,057.30",2.91,149.587628865979
55.0,2024-11-27,435.00,438.80,431.60,436.90,0.55,"77,997.00","3,38,77,361.50",2.91,150.137457044674
56.0,2024-11-26,431.00,435.70,425.10,434.50,2.24,"1,14,088.00","4,89,08,653.00",2.91,149.312714776632
57.0,2024-11-25,435.50,435.50,422.10,425.00,-0.47,"1,08,838.00","4,61,78,968.10",2.91,146.048109965636
58.0,2024-11-24,430.00,430.00,423.00,427.00,0.16,"1,12,104.00","4,75,48,945.20",2.91,146.735395189003
59.0,2024-11-21,431.00,433.00,426.00,426.30,-0.84,"1,11,250.00","4,76,55,052.80",2.91,146.494845360825
60.0,2024-11-20,439.80,439.80,428.00,429.90,-0.3,"1,16,555.00","5,00,11,496.10",2.91,147.731958762887
61.0,2024-11-19,442.00,442.00,429.10,431.20,-2.07,"2,30,820.00","9,98,58,868.40",2.91,148.178694158076
62.0,2024-11-17,445.50,447.00,440.00,440.30,-1.08,"1,64,538.00","7,27,38,307.20",2.91,151.305841924399
63.0,2024-11-14,450.10,453.00,443.30,445.10,-1.46,"1,24,178.00","5,54,02,034.90",2.91,152.955326460481
64.0,2024-11-13,464.10,464.10,448.00,451.70,-1.16,"70,413.00","3,18,67,704.80",2.91,155.223367697595
65.0,2024-11-12,463.00,463.00,450.00,457.00,0.66,"98,128.00","4,48,00,783.00",2.91,157.044673539519
66.0,2024-11-11,458.00,462.10,450.00,454.00,0.93,"1,59,935.00","7,27,57,931.20",2.91,156.013745704467
67.0,2024-11-10,448.00,449.80,442.10,449.80,2.23,"82,617.00","3,68,15,029.40",2.91,154.570446735395
68.0,2024-11-06,445.00,447.00,439.00,440.00,-0.9,"63,545.00","2,80,83,991.40",2.91,151.202749140893
69.0,2024-11-05,440.30,455.80,440.00,444.00,-0.4,"51,361.00","2,29,62,464.40",2.91,152.577319587629
70.0,2024-10-30,450.00,454.00,443.10,445.80,-1.13,"77,838.00","3,48,38,568.80",2.91,153.19587628866
71.0,2024-10-29,445.00,452.00,445.00,450.90,1.78,"65,634.00","2,95,00,622.40",2.91,154.948453608247
72.0,2024-10-28,452.00,452.00,441.00,443.00,-0.23,"59,809.00","2,65,72,257.40",2.91,152.233676975945
73.0,2024-10-27,443.00,446.00,437.00,444.00,0.23,"55,784.00","2,46,54,312.40",2.91,152.577319587629
74.0,2024-10-24,450.00,455.00,439.00,443.00,-1.99,"1,04,890.00","4,65,21,225.20",2.91,152.233676975945
75.0,2024-10-23,460.00,460.00,450.00,452.00,-2.8,"1,82,640.00","8,27,21,217.30",2.91,155.3264604811
76.0,2024-10-22,475.00,476.00,459.50,465.00,-0.9,"1,04,000.00","4,83,95,845.70",2.91,159.79381443299
77.0,2024-10-21,472.00,480.00,468.40,469.20,-2.25,"70,285.00","3,31,98,853.90",2.91,161.237113402062
78.0,2024-10-20,484.00,495.00,479.10,480.00,-2.64,"1,87,805.00","9,07,83,664.40",2.91,164.948453608247
79.0,2024-10-17,498.00,505.00,493.00,493.00,-1.14,"80,563.00","4,00,14,898.30",2.91,169.415807560137
80.0,2024-10-16,494.00,501.90,484.00,498.70,2.44,"3,02,170.00","14,75,06,063.30",9.26,53.8552915766739
81.0,2024-10-15,487.50,489.00,476.00,486.80,1.84,"14,812.00","71,40,200.70",9.26,52.5701943844492
82.0,2024-10-09,480.00,483.00,473.00,478.00,-0.42,"38,554.00","1,84,20,792.20",9.26,51.6198704103672
83.0,2024-10-08,470.00,485.00,468.00,480.00,1.05,"2,70,991.00","12,86,76,088.00",9.26,51.8358531317495
84.0,2024-10-07,483.00,483.40,475.00,475.00,0.21,"61,966.00","2,97,12,489.20",9.26,51.2958963282937
85.0,2024-10-06,470.00,476.90,462.00,474.00,2.6,"70,077.00","3,28,14,474.90",9.26,51.1879049676026
86.0,2024-10-02,465.00,474.00,458.00,462.00,0.72,"1,06,390.00","4,92,91,155.40",9.26,49.8920086393089
87.0,2024-10-01,447.50,463.90,441.00,458.70,4.25,"1,18,682.00","5,35,83,406.00",9.26,49.5356371490281
88.0,2024-09-30,442.70,442.90,435.00,440.00,0.92,"39,543.00","1,73,53,125.20",9.26,47.5161987041037
89.0,2024-09-29,435.00,440.00,429.00,436.00,-0.23,"32,022.00","1,39,74,891.00",9.26,47.0842332613391
90.0,2024-09-26,433.70,448.00,433.70,437.00,-1.24,"57,402.00","2,52,64,368.60",9.26,47.1922246220302
91.0,2024-09-25,427.00,442.60,427.00,442.50,2.86,"78,402.00","3,41,96,940.10",9.26,47.7861771058315
92.0,2024-09-24,441.10,444.00,430.00,430.20,-3.22,"1,14,932.00","5,00,98,069.40",9.26,46.4578833693305
93.0,2024-09-23,461.00,461.00,443.00,444.50,-1.66,"87,158.00","3,89,24,478.30",9.26,48.0021598272138
94.0,2024-09-22,464.10,471.00,449.20,452.00,-0.66,"78,178.00","3,55,61,158.30",9.26,48.8120950323974
95.0,2024-09-18,458.00,458.00,447.00,455.00,0.46,"59,933.00","2,71,63,435.70",9.26,49.1360691144708
96.0,2024-09-16,469.00,469.00,452.10,452.90,-1.97,"93,821.00","4,28,89,083.30",9.26,48.9092872570194
97.0,2024-09-15,475.00,478.20,460.00,462.00,-1.49,"1,21,891.00","5,67,85,017.60",9.26,49.8920086393089
98.0,2024-09-12,467.60,470.00,456.00,469.00,2.29,"89,053.00","4,11,64,303.20",9.26,50.6479481641469
99.0,2024-09-11,460.00,465.50,457.10,458.50,-0.33,"73,610.00","3,38,92,278.70",9.26,49.5140388768898
100.0,2024-09-10,468.00,473.00,455.00,460.00,-1.08,"1,21,413.00","5,59,77,422.10",9.26,49.6760259179266
101.0,2024-09-09,476.00,479.00,460.00,465.00,-2.0,"1,08,664.00","5,06,91,255.40",9.26,50.2159827213823
102.0,2024-09-08,487.00,488.00,470.00,474.50,-0.94,"63,926.00","3,05,15,717.80",9.26,51.2419006479482
103.0,2024-09-05,484.00,489.00,473.00,479.00,-0.62,"85,177.00","4,07,29,551.00",9.26,51.7278617710583
104.0,2024-09-04,507.90,507.90,480.00,482.00,-3.21,"78,221.00","3,81,74,659.20",9.26,52.0518358531317
105.0,2024-09-03,501.00,512.00,489.60,498.00,-0.6,"1,96,070.00","9,69,40,498.40",9.26,53.7796976241901
106.0,2024-09-02,485.00,503.90,480.00,501.00,3.26,"1,24,169.00","6,11,61,137.90",9.26,54.1036717062635
107.0,2024-09-01,503.80,503.80,485.00,485.20,-1.78,"1,22,470.00","5,97,21,867.40",9.26,52.3974082073434
108.0,2024-08-29,498.80,503.00,489.30,494.00,-0.8,"1,25,957.00","6,21,18,372.80",9.26,53.3477321814255
109.0,2024-08-28,506.00,516.00,493.00,498.00,0.2,"1,41,796.00","7,10,76,392.60",9.26,53.7796976241901
110.0,2024-08-27,515.00,525.00,496.10,497.00,-3.68,"2,51,927.00","12,77,55,243.80",9.26,53.6717062634989
111.0,2024-08-25,528.00,537.90,515.00,516.00,-2.27,"2,64,501.00","13,78,41,516.00",9.26,55.7235421166307
112.0,2024-08-22,530.00,542.60,527.00,528.00,-0.38,"1,98,426.00","10,58,79,839.60",9.26,57.0194384449244
113.0,2024-08-21,539.00,539.00,525.00,530.00,-1.43,"2,09,828.00","11,14,92,627.20",9.26,57.2354211663067
114.0,2024-08-18,550.00,564.00,535.00,537.70,-1.36,"4,80,715.00","26,29,26,484.00",9.26,58.0669546436285
115.0,2024-08-15,520.00,557.00,518.50,545.10,4.83,"7,51,075.00","40,93,74,057.00",9.26,58.866090712743
116.0,2024-08-14,516.00,523.00,508.00,520.00,0.78,"1,93,085.00","9,94,13,002.60",9.26,56.1555075593952
117.0,2024-08-13,535.50,535.50,513.00,516.00,-1.71,"1,92,089.00","10,02,96,001.20",9.26,55.7235421166307
118.0,2024-08-12,514.00,534.00,504.00,525.00,4.1,"4,29,436.00","22,40,76,205.90",9.26,56.695464362851
119.0,2024-08-11,490.00,508.00,490.00,504.30,3.55,"4,37,035.00","21,95,99,887.90",9.26,54.4600431965443
120.0,2024-08-08,483.00,495.00,480.00,487.00,0.83,"2,45,160.00","11,96,52,202.80",9.26,52.5917926565875
121.0,2024-08-07,470.00,487.40,470.00,483.00,1.81,"2,14,696.00","10,31,47,127.10",9.26,52.1598272138229
122.0,2024-08-06,495.90,495.90,474.00,474.40,-4.34,"4,99,757.00","24,12,22,400.20",9.26,51.231101511879
123.0,2024-08-05,506.70,506.70,480.00,495.90,-4.08,"6,77,340.00","33,62,21,737.50",9.26,53.5529157667387
124.0,2024-08-01,540.60,540.60,516.00,517.00,-2.45,"3,97,416.00","20,77,35,106.00",9.26,55.8315334773218
125.0,2024-07-31,533.10,539.00,525.00,530.00,0.0,"3,21,197.00","17,09,33,211.20",9.26,57.2354211663067
126.0,2024-07-30,534.50,537.60,515.50,530.00,-0.84,"2,96,884.00","15,62,78,069.70",9.26,57.2354211663067
127.0,2024-07-29,563.00,573.00,533.00,534.50,-3.17,"4,15,282.00","22,54,81,164.30",9.26,57.7213822894168
128.0,2024-07-28,511.90,552.00,511.90,552.00,9.98,"6,42,139.00","34,81,69,885.60",9.26,59.6112311015119
129.0,2024-07-25,499.00,505.00,491.00,501.90,0.58,"1,63,606.00","8,17,36,328.50",9.26,54.2008639308855
130.0,2024-07-24,510.00,520.00,497.90,499.00,-1.77,"2,18,750.00","11,08,22,199.30",9.26,53.8876889848812
131.0,2024-07-23,502.00,513.00,490.00,508.00,1.2,"2,80,089.00","14,13,14,159.70",9.26,54.8596112311015
132.0,2024-07-22,508.00,513.00,492.00,502.00,-0.44,"2,01,152.00","10,04,34,734.20",9.26,54.2116630669546
133.0,2024-07-21,500.00,511.00,492.50,504.20,0.84,"2,72,349.00","13,69,63,265.50",9.26,54.4492440604752
