S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
1920.0,2016-10-16,678.0,666.0,658.0,660.0,0.0,3547.0,2347771.0,17.94,36.7892976588629
1919.0,2016-10-17,660.0,660.0,647.0,651.0,0.0,5758.0,3758521.0,17.94,36.2876254180602
1918.0,2016-10-18,651.0,655.0,644.0,646.0,0.0,6085.0,3939778.0,17.94,36.0089186176143
1917.0,2016-10-19,646.0,651.0,642.0,648.0,0.0,6977.0,4505359.0,17.94,36.1204013377926
1916.0,2016-10-20,648.0,651.0,643.0,648.0,0.0,3303.0,2133809.0,17.94,36.1204013377926
1915.0,2016-10-23,648.0,650.0,633.0,635.0,0.0,6063.0,3890654.0,17.94,35.3957636566332
1914.0,2016-10-24,635.0,636.0,624.0,627.0,0.0,6771.0,4260641.0,17.94,34.9498327759197
1913.0,2016-10-25,627.0,626.0,610.0,615.0,0.0,10593.0,6519013.0,17.94,34.2809364548495
1912.0,2016-10-26,615.0,615.0,600.0,609.0,0.0,19957.0,12096246.0,17.94,33.9464882943144
1911.0,2016-10-27,609.0,620.0,608.0,610.0,0.0,6749.0,4124275.0,17.94,34.0022296544036
1910.0,2016-11-03,610.0,620.0,608.0,614.0,0.0,2568.0,1567482.0,17.94,34.2251950947603
1909.0,2016-11-07,614.0,618.0,606.0,612.0,0.0,9272.0,5660666.0,17.94,34.1137123745819
1908.0,2016-11-08,612.0,612.0,595.0,596.0,0.0,6455.0,3900291.0,17.94,33.221850613155
1907.0,2016-11-09,596.0,606.0,580.0,582.0,0.0,10255.0,6013269.0,17.94,32.4414715719064
1906.0,2016-11-10,582.0,598.0,587.0,591.0,0.0,19889.0,11739857.0,17.94,32.943143812709
1905.0,2016-11-13,591.0,592.0,585.0,587.0,0.0,6912.0,4068599.0,17.94,32.7201783723523
1904.0,2016-11-14,587.0,595.0,582.0,586.0,0.0,12668.0,7482377.0,17.94,32.6644370122631
1903.0,2016-11-15,586.0,592.0,570.0,570.0,0.0,15963.0,9282123.0,17.94,31.7725752508361
1902.0,2016-11-16,570.0,579.0,570.0,570.0,0.0,8105.0,4642313.0,17.94,31.7725752508361
1901.0,2016-11-17,570.0,575.0,545.0,547.0,0.0,21731.0,12008380.0,17.94,30.4905239687848
1900.0,2016-11-20,547.0,550.0,522.0,530.0,0.0,39521.0,21075360.0,17.94,29.5429208472687
1899.0,2016-11-21,530.0,565.0,527.0,545.0,0.0,18853.0,10256156.0,17.94,30.3790412486065
1898.0,2016-11-22,545.0,550.0,525.0,540.0,0.0,18744.0,10166819.0,17.94,30.1003344481605
1897.0,2016-11-23,540.0,542.0,525.0,533.0,0.0,22374.0,11941367.0,17.94,29.7101449275362
1896.0,2016-11-24,533.0,553.0,525.0,535.0,0.0,15416.0,8233238.0,17.94,29.8216276477146
1895.0,2016-11-27,535.0,531.0,505.0,508.0,0.0,20997.0,10831468.0,17.94,28.3166109253066
1894.0,2016-11-28,508.0,545.0,488.0,534.0,0.0,21646.0,11089115.0,17.94,29.7658862876254
1893.0,2016-11-29,534.0,566.0,514.0,562.0,0.0,21579.0,11698143.0,17.94,31.3266443701226
1892.0,2016-11-30,562.0,580.0,555.0,573.0,0.0,21959.0,12488495.0,17.94,31.9397993311037
1891.0,2016-12-01,573.0,582.0,560.0,569.0,0.0,24219.0,13828356.0,17.94,31.7168338907469
1890.0,2016-12-04,569.0,567.0,555.0,555.0,0.0,14632.0,8189618.0,17.94,30.9364548494983
1889.0,2016-12-05,555.0,560.0,528.0,533.0,0.0,15295.0,8212971.0,17.94,29.7101449275362
1888.0,2016-12-06,533.0,545.0,530.0,539.0,0.0,14565.0,7769193.0,17.94,30.0445930880713
1887.0,2016-12-07,539.0,544.0,535.0,539.0,0.0,7217.0,3882133.0,17.94,30.0445930880713
1886.0,2016-12-08,539.0,540.0,534.0,536.0,0.0,8066.0,4322351.0,17.94,29.8773690078038
1885.0,2016-12-11,536.0,538.0,522.0,529.0,0.0,10906.0,5768611.0,17.94,29.4871794871795
1884.0,2016-12-12,529.0,537.0,515.0,530.0,0.0,3967.0,2076835.0,17.94,29.5429208472687
1883.0,2016-12-14,530.0,540.0,521.0,534.0,0.0,9427.0,4993469.0,17.94,29.7658862876254
1882.0,2016-12-15,534.0,537.0,530.0,537.0,0.0,5999.0,3206698.0,17.94,29.933110367893
1881.0,2016-12-18,537.0,537.0,525.0,535.0,0.0,6606.0,3521112.0,17.94,29.8216276477146
